lon1,lat1,dist1,lon2,lat2,dist2,speed
20.9682536,52.2696253,Żoliborz,20.9682438,52.2696286,Żoliborz,0.27400910820811447
20.982367,52.273895,Żoliborz,20.981819,52.274567,Żoliborz,18.789445873746836
20.968233,52.271893,Żoliborz,20.968252,52.271889,Żoliborz,0.3076128308614633
20.985624,52.269371,Żoliborz,20.984829,52.268608,Żoliborz,21.307975516103664
20.98642,52.279541,Żoliborz,20.987116,52.278851,Żoliborz,32.4571651187687
20.9497307,52.2590872,Żoliborz,20.9485107,52.2578921,Żoliborz,56.41155835616383
20.975069,52.277718,Żoliborz,20.9784829,52.2794199,Żoliborz,77.03747840386659
20.9687177,52.2719997,Żoliborz,20.9687134,52.2720005,Żoliborz,0.057941718751681436
20.9695,52.2561,Żoliborz,20.9692,52.2562,Żoliborz,6.438753754170391
20.989113,52.265869,Żoliborz,20.988329,52.266743,Żoliborz,26.607750838619168
20.993132,52.261742,Żoliborz,20.992256,52.262508,Żoliborz,26.7343453942771
20.977974,52.279625,Żoliborz,20.973854,52.277397,Żoliborz,67.33517335388804
20.9676124,52.271699,Żoliborz,20.9676077,52.2717032,Żoliborz,0.1132037609333632
20.9722341,52.2716868,Żoliborz,20.9726333,52.2716368,Żoliborz,6.654146588727888
20.96067,52.259308,Żoliborz,20.960669,52.259308,Żoliborz,0.024502021748765694
20.983095,52.27269,Żoliborz,20.98313,52.272671,Żoliborz,0.9550508514098471
20.969915,52.274921,Żoliborz,20.970402,52.2752,Żoliborz,14.855130066529371
20.968557,52.272114,Żoliborz,20.968544,52.272121,Żoliborz,0.32628327473201674
20.9690925,52.271842333,Żoliborz,20.969094667,52.271832,Żoliborz,0.41702377897500126
20.997445,52.270173,Żoliborz,20.998772,52.269333,Żoliborz,42.517259645672254
20.958578,52.266788,Żoliborz,20.959009,52.267178,Żoliborz,12.564679510359898
20.966578,52.2658381,Żoliborz,20.9682948,52.2653618,Żoliborz,46.17894155336074
20.994179,52.2594465,Żoliborz,20.9941431,52.259438,Żoliborz,0.47156804074378655
20.9853633,52.2687467,Żoliborz,20.986785,52.2683567,Żoliborz,23.853930064641442
20.9786728,52.2619488,Żoliborz,20.9787215,52.262048,Żoliborz,3.4553155794534423
20.9681343,52.2719776,Żoliborz,20.9681335,52.271983,Żoliborz,0.21704934764404943
20.9682438,52.2696286,Żoliborz,20.968246,52.2696161,Żoliborz,0.5032709509474095
20.967303,52.273046,Żoliborz,20.969866,52.272171,Żoliborz,35.944950603400066
20.981819,52.274567,Żoliborz,20.981646,52.274857,Żoliborz,12.357930679491835
20.968252,52.271889,Żoliborz,20.968256,52.271877,Żoliborz,0.49025286211508823
20.987116,52.278851,Żoliborz,20.986609,52.278366,Żoliborz,16.461346808839465
20.9687134,52.2720005,Żoliborz,20.9687084,52.2719969,Żoliborz,0.15760233264728563
20.95673,52.260883,Żoliborz,20.957026,52.260777,Żoliborz,6.463429499273886
20.988329,52.266743,Żoliborz,20.98786,52.267258,Żoliborz,19.667514755470375
20.992256,52.262508,Żoliborz,20.991558,52.263222,Żoliborz,33.30690924368287
20.973854,52.277397,Żoliborz,20.972616,52.276695,Żoliborz,41.34080110527516
20.9676077,52.2717032,Żoliborz,20.967608,52.2717027,Żoliborz,0.01776788844013727
20.9726333,52.2716368,Żoliborz,20.9735515,52.2713971,Żoliborz,24.45278843483572
20.960669,52.259308,Żoliborz,20.961069,52.259163,Żoliborz,10.355137511968445
20.98313,52.272671,Żoliborz,20.983522,52.272285,Żoliborz,18.192048978411066
20.970402,52.2752,Żoliborz,20.971476,52.275818,Żoliborz,24.073803176438012
20.994644,52.260128,Żoliborz,20.993774,52.261166,Żoliborz,15.566663027122466
20.968544,52.272121,Żoliborz,20.96855,52.272118,Żoliborz,0.18979413402705364
20.969094667,52.271832,Żoliborz,20.969105167,52.2718,Żoliborz,0.871020832711634
20.998772,52.269333,Żoliborz,21.000298,52.268464,Żoliborz,51.06363677134623
20.959009,52.267178,Żoliborz,20.959455,52.267582,Żoliborz,19.51705148661858
20.976572,52.266224,Żoliborz,20.97658,52.266239,Żoliborz,0.6316277965270239
20.983923,52.28236,Żoliborz,20.983271,52.282051,Żoliborz,20.19770899741426
20.9682948,52.2653618,Żoliborz,20.970009,52.2649066,Żoliborz,45.77862862171869
20.972633,52.264788,Żoliborz,20.971683,52.264398,Żoliborz,14.012612102807259
20.986785,52.2683567,Żoliborz,20.9871083,52.2692317,Żoliborz,23.94040940467793
